两 难,加木- 两 难,new,有个气,广东,恭喜
两 难,加木- 两 难,new,loyycabl,湖北,impossible
两 难,加木- 两 难,new,Yyyy4NN,广东,wife
两 难,加木- 两 难,new,这周一定放假,江西,demand
两 难,加木- 两 难,new,世上再无眷顾,湖北,太新鲜了[大笑]
两 难,加木- 两 难,new,桃小酱_,浙江,小众歌变大众歌了[开心]
两 难,加木- 两 难,new,海浪妙曼田鼠,山东,99
两 难,加木- 两 难,new,养什么杨,河南,"Miss
"
两 难,加木- 两 难,new,Ks-妳的欣,浙江,好
两 难,加木- 两 难,new,随缘yyan,新疆,一人一句歌词 接下去.
两 难,加木- 两 难,new,改辽北,河北,来了
两 难,加木- 两 难,new,耎软ouo,广东,一个人从家里出来工作没多久，又和家人吵架了。身无分文了， 一天多都没吃什么了，我能讨份吃的嘛...
两 难,加木- 两 难,new,Corpse漫舞TZZ,北京,我觉得这个好难唱
两 难,加木- 两 难,new,_麻--烦_,吉林,恭喜
两 难,加木- 两 难,new,_麻--烦_,吉林,接
两 难,加木- 两 难,new,_麻--烦_,吉林,恭喜
两 难,加木- 两 难,new,_麻--烦_,吉林,别伤心
两 难,加木- 两 难,new,_麻--烦_,吉林,生日快乐
两 难,加木- 两 难,new,_麻--烦_,吉林,calm
两 难,加木- 两 难,new,团团坐着小飞,湖南,"have
"
两 难,加木- 两 难,hot,大雾_BASS,内蒙古,鼓起勇气把霸凌我的人告了[可爱]
两 难,加木- 两 难,hot,暗天秋一一长安某,江西,女孩子要知道前途比感情重要
两 难,加木- 两 难,hot,苦心人_h,山西,你火了我怎么当小众姐了…
两 难,加木- 两 难,hot,SANKAWX,江苏,此时此刻，三年后的一位总裁赞了我一下
两 难,加木- 两 难,hot,-Escape_Q,广东,哥们儿，11w的债在今天还完了，还剩800，这是属于我自己的钱了，没啥别的事，只想把这个喜悦分享给你们，陪一根
两 难,加木- 两 难,hot,加木TRi,浙江,8月27日19：30-20：00我将空降评论区，想和我聊聊天的朋友到时不见不散
两 难,加木- 两 难,hot,荼荼小猫,江苏,“在读这句话的女孩子永远都被爱”
两 难,加木- 两 难,hot,做个疯子yu,河南,以前觉得小众的歌跟歌手不知不觉都上热歌第一了[多多捂脸]
两 难,加木- 两 难,hot,婉昭Yoyo,新西兰,“慢慢”两个字的鼓点简直爽死了啊啊啊谁懂
两 难,加木- 两 难,hot,Letzteres,河南,前奏一出来我就知道血型匹配上了
两 难,加木- 两 难,hot,樱满集y-,山西,高考还有9天，会赢的，对吗
两 难,加木- 两 难,hot,koaizy,广东,愿爸爸出警平安
两 难,加木- 两 难,hot,净中月,贵州,这里评论真吓人，无论几岁爱情都不该是你们生活的全部啊。人与人的生活节奏都不一样，有人3分钟泡面有人3小时煲汤，有人外卖已送达，有的人才刚切好蒜和肉。大家赶的时间不一样，慢慢会有人理解你的小情绪，慢慢理解你长大后的小心愿了解海边圆月。慢慢来的才是诚意，好戏都在烟火里。
两 难,加木- 两 难,hot,加木TRi,浙江,我都空降那么多首歌了 你个假粉丝
两 难,加木- 两 难,hot,灰色悲予,福建,在中国小众的都不能算小众
大城小爱,梓渝- 大城小爱,new,一波王炸2203,江苏,耳机里能突然放到@我是梓渝_ 《大城小爱》🔮 这样的声音能把想念变成面包香气🍞，飘在每一个赶路的黄昏里🌆
大城小爱,梓渝- 大城小爱,new,__claren__,江西,脑袋都是你
大城小爱,梓渝- 大城小爱,new,快餐店吹传统民谣,河南,好听爱听
大城小爱,梓渝- 大城小爱,new,eee瑶,安徽,"“你的微笑结束了疲倦”
是笑着唱的吧小宝[可爱]"
大城小爱,梓渝- 大城小爱,new,睡了吗哇,天津,好好听
大城小爱,梓渝- 大城小爱,new,Knock_Knock_7,河北,难听
大城小爱,梓渝- 大城小爱,new,迷醒岁月中的贫瘠未来,陕西,哇哇哇🌽🌽脑袋都是你🌽🌽心里都是你🌽🌽小小的爱在大城里只为你倾心🌽🌽宝宝特别好听🌽🌽期待宝宝首次唱作🌽🌽希望豹豹猫猫一直大城小爱，幸福永远🌽🌽
